feature,importance
categorical__month_may,0.6495815574916047
categorical__month_mar,0.5174330395157389
numeric__euribor3m,0.43667273016017477
categorical__job_retired,0.3406320340576271
categorical__poutcome_failure,0.31588312212385583
categorical__month_oct,0.3147085304517625
categorical__month_nov,0.2797773044017295
categorical__month_aug,0.27623970629996847
categorical__poutcome_nonexistent,0.2549266854545451
categorical__month_jul,0.22175991096789088
categorical__contact_telephone,0.2188339625565153
categorical__contact_cellular,0.2014088808226197
categorical__job_student,0.19046241224700033
categorical__marital_divorced,0.19023632831212228
categorical__default_unknown,0.16405273201469608
categorical__job_unemployed,0.16377394392570152
categorical__education_basic.9y,0.14946979242039232
categorical__default_no,0.14877655780385085
categorical__job_services,0.14213643847663954
categorical__month_jun,0.13381806970644372
categorical__day_of_week_mon,0.13150359315517446
categorical__day_of_week_wed,0.12815425669655134
numeric__previous,0.11398212979339586
categorical__education_basic.6y,0.10396570188165291
categorical__marital_single,0.1002320586110003
categorical__loan_no,0.09610705062046435
categorical__job_housemaid,0.09576641714911269
categorical__education_university.degree,0.09490667311275515
categorical__loan_unknown,0.08812528406188709
categorical__housing_unknown,0.08812528406188709
categorical__education_professional.course,0.07776850034714741
categorical__job_technician,0.0752497881511717
numeric__campaign,0.07346657939226402
categorical__job_blue-collar,0.07276135301369967
categorical__job_self-employed,0.0714034165302172
categorical__housing_no,0.0684554310374734
categorical__month_dec,0.06067986213377858
categorical__job_admin.,0.058887570089673734
categorical__marital_married,0.05055055658925859
numeric__cons.price.idx,0.049953651500682386
categorical__month_apr,0.04772833592366743
categorical__day_of_week_fri,0.04743806253985382
categorical__day_of_week_thu,0.046212351559499036
categorical__education_unknown,0.04422766874842576
categorical__poutcome_success,0.04353135493527458
numeric__cons.conf.idx,0.043121794453269406
categorical__education_basic.4y,0.031537498890690296
categorical__education_high.school,0.02549924283740798
categorical__loan_yes,0.025406848292593067
categorical__education_illiterate,0.023749909018814137
categorical__job_entrepreneur,0.02339254755232326
categorical__marital_unknown,0.022028631377934448
categorical__job_management,0.021898988826643664
categorical__day_of_week_tue,0.0153014562556973
categorical__month_sep,0.012497590392623803
categorical__job_unknown,0.012190700392556222
categorical__housing_yes,0.0022447712905372037
categorical__default_yes,0.0021489075232223676
numeric__pdays,0.0019355346143452076
numeric__age,0.001921066005312749
