feature,importance,model
numeric__euribor3m,0.592628747848636,Decision Tree
categorical__contact_cellular,0.10915780191525151,Decision Tree
categorical__month_may,0.07181799267458175,Decision Tree
categorical__day_of_week_thu,0.04723667992324805,Decision Tree
categorical__contact_telephone,0.03105098758790749,Decision Tree
categorical__poutcome_failure,0.03051495443133604,Decision Tree
categorical__month_oct,0.027412308413222022,Decision Tree
categorical__month_apr,0.023564884703936462,Decision Tree
numeric__previous,0.021533066005734246,Decision Tree
categorical__job_technician,0.01590862038859208,Decision Tree
categorical__day_of_week_mon,0.012806760296753757,Decision Tree
categorical__day_of_week_tue,0.009189791079979786,Decision Tree
numeric__pdays,0.0029767687390948863,Decision Tree
categorical__education_basic.9y,0.001845367204650242,Decision Tree
categorical__day_of_week_wed,0.0012423233699431352,Decision Tree
categorical__month_jul,0.0006710931868134301,Decision Tree
numeric__campaign,0.0004418522303191421,Decision Tree
categorical__job_unknown,0.0,Decision Tree
categorical__job_entrepreneur,0.0,Decision Tree
categorical__job_admin.,0.0,Decision Tree
categorical__job_housemaid,0.0,Decision Tree
categorical__job_management,0.0,Decision Tree
categorical__job_self-employed,0.0,Decision Tree
categorical__job_retired,0.0,Decision Tree
categorical__job_services,0.0,Decision Tree
categorical__job_student,0.0,Decision Tree
categorical__job_unemployed,0.0,Decision Tree
categorical__job_blue-collar,0.0,Decision Tree
categorical__housing_no,0.0,Decision Tree
categorical__default_yes,0.0,Decision Tree
categorical__default_unknown,0.0,Decision Tree
categorical__default_no,0.0,Decision Tree
categorical__education_unknown,0.0,Decision Tree
categorical__education_university.degree,0.0,Decision Tree
categorical__education_professional.course,0.0,Decision Tree
categorical__education_illiterate,0.0,Decision Tree
categorical__education_high.school,0.0,Decision Tree
categorical__education_basic.6y,0.0,Decision Tree
categorical__education_basic.4y,0.0,Decision Tree
categorical__marital_unknown,0.0,Decision Tree
categorical__marital_married,0.0,Decision Tree
categorical__marital_single,0.0,Decision Tree
categorical__marital_divorced,0.0,Decision Tree
categorical__loan_unknown,0.0,Decision Tree
categorical__month_nov,0.0,Decision Tree
categorical__month_mar,0.0,Decision Tree
categorical__month_dec,0.0,Decision Tree
categorical__month_jun,0.0,Decision Tree
categorical__month_aug,0.0,Decision Tree
categorical__loan_no,0.0,Decision Tree
categorical__housing_yes,0.0,Decision Tree
categorical__loan_yes,0.0,Decision Tree
categorical__housing_unknown,0.0,Decision Tree
categorical__poutcome_nonexistent,0.0,Decision Tree
categorical__day_of_week_fri,0.0,Decision Tree
categorical__month_sep,0.0,Decision Tree
categorical__poutcome_success,0.0,Decision Tree
numeric__age,0.0,Decision Tree
numeric__cons.price.idx,0.0,Decision Tree
numeric__cons.conf.idx,0.0,Decision Tree
